feature,gain,splits,perm_drop
mem_active__min,277293.97399902344,97,-0.0011425732100384112
mem_active__max,407926.5129394531,136,-0.0008187821997321931
mem_active__mean,266936.26916503906,74,0.0005883043602524785
mem_active__std,29827.84393310547,20,0.00020876340824219075
mem_active__last,123368.66696166992,49,-0.0008856817683470797
mem_active__delta,1401.06103515625,2,6.342292999172994e-06
mem_active__slope,787.1199951171875,1,1.488432210816626e-09
gpu_temp_mean__min,190845.60638427734,46,-0.0007547867377983852
gpu_temp_mean__max,75966.0678100586,35,0.0012160199436013763
gpu_temp_mean__mean,143948.08764648438,55,-0.00042026049381699293
gpu_temp_mean__std,27428.558959960938,18,-0.0002019791278657923
gpu_temp_mean__last,57782.16162109375,17,0.0008693486229595371
gpu_temp_mean__delta,0.0,0,0.0
gpu_temp_mean__slope,0.0,0,0.0
gpu_power_mean__min,215305.40716552734,33,0.0015738018889512317
gpu_power_mean__max,78558.46768188477,28,-0.00012863794029419062
gpu_power_mean__mean,342755.6011352539,19,-0.0003515685682501657
gpu_power_mean__std,22565.03564453125,7,-0.00037882340131356607
gpu_power_mean__last,4641.4639892578125,2,0.00015608755742968494
gpu_power_mean__delta,0.0,0,0.0
gpu_power_mean__slope,0.0,0,0.0
gpu_mem_used__min,217925.0888671875,87,-0.001230299854564465
gpu_mem_used__max,407399.6608886719,108,0.0012463194380881726
gpu_mem_used__mean,191513.06219482422,68,-0.0006110761463211101
gpu_mem_used__std,109732.56768798828,36,0.0013283984800525062
gpu_mem_used__last,142035.70455932617,61,-0.0004788130057209461
gpu_mem_used__delta,8368.793884277344,7,0.00029559282187896496
gpu_mem_used__slope,60487.61779785156,38,-0.00045474204590623124
gpu_fan_mean__min,1037328.1846923828,31,0.004777023961221372
gpu_fan_mean__max,104554.3257446289,40,0.0015728758170046875
gpu_fan_mean__mean,42393.356018066406,24,-6.849961643401459e-05
gpu_fan_mean__std,34098.773498535156,18,0.0008599907861302769
gpu_fan_mean__last,12450.510009765625,7,-8.674296197047626e-05
gpu_fan_mean__delta,0.0,0,0.0
gpu_fan_mean__slope,0.0,0,0.0
disk_written_rate__min,143627.5170288086,35,6.846478568914294e-05
disk_written_rate__max,24163.027221679688,10,-0.00026004174154459214
disk_written_rate__mean,6845.784912109375,8,-0.00012389294728659683
disk_written_rate__std,27853.81231689453,13,-0.00014127218289425314
disk_written_rate__last,654.7529907226562,1,7.808078881840763e-05
disk_written_rate__delta,0.0,0,0.0
disk_written_rate__slope,0.0,0,0.0
tcp_inerrs_rate__min,0.0,0,0.0
tcp_inerrs_rate__max,0.0,0,0.0
tcp_inerrs_rate__mean,0.0,0,0.0
tcp_inerrs_rate__std,0.0,0,0.0
tcp_inerrs_rate__last,0.0,0,0.0
tcp_inerrs_rate__delta,0.0,0,0.0
tcp_inerrs_rate__slope,0.0,0,0.0
forks_rate__min,278992.0974121094,55,-7.235231650154494e-05
forks_rate__max,1411.1199951171875,1,6.779458183725495e-08
forks_rate__mean,115958.68399047852,51,0.0001899315935123269
forks_rate__std,12183.68994140625,3,4.827618174157999e-05
forks_rate__last,3010.9580688476562,3,2.0046041329518927e-05
forks_rate__delta,0.0,0,0.0
forks_rate__slope,0.0,0,0.0
ctxsw_rate__min,206821.3709716797,29,0.001618549227890731
ctxsw_rate__max,78860.15673828125,34,0.000521116749217565
ctxsw_rate__mean,159130.3452758789,62,-0.001112932803131711
ctxsw_rate__std,152952.65380859375,52,-0.000572653237571219
ctxsw_rate__last,4609.050048828125,3,6.645425682283435e-05
ctxsw_rate__delta,0.0,0,0.0
